Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
C1,1,0.1uf,,,,Capacitor_SMD:C_0805_2012Metric,~
"C2,C4,C5",3,1uf,,,,Capacitor_SMD:C_0805_2012Metric,~
C3,1,10uf,,,,Capacitor_SMD:C_0805_2012Metric,~
"D1,D2",2,LED,,,,LED_SMD:LED_0805_2012Metric,~
J1,1,USB_C_Receptacle_USB2.0_16P,,,,Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,https://www.usb.org/sites/default/files/documents/usb_type-c.zip
J2,1,Conn_01x14_Pin,,,,Connector_PinSocket_2.54mm:PinSocket_1x14_P2.54mm_Vertical,~
Q1,1,BCV29,,,,Package_TO_SOT_SMD:SOT-89-3,https://assets.nexperia.com/documents/data-sheet/BCV29_49.pdf
"R1,R2",2,10K,,,,Resistor_SMD:R_0805_2012Metric,~
"R3,R4",2,5.1K,,,,Resistor_SMD:R_0805_2012Metric,~
R5,1,1K,,,,Resistor_SMD:R_0805_2012Metric,~
R6,1,100,,,,Resistor_SMD:R_0805_2012Metric,~
R7,1,18K,,,,Resistor_SMD:R_0805_2012Metric,~
SW1,1,Boot,,,,Button_Switch_SMD:SW_SPST_FSMSM,~
SW2,1,RESET,,,,Button_Switch_SMD:SW_SPST_FSMSM,~
U1,1,STM32F042F6Px,,,,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,https://www.st.com/resource/en/datasheet/stm32f042f6.pdf
U2,1,LP5912-3.3DRV,,,,Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,http://www.ti.com/lit/ds/symlink/lp5912.pdf
